Country,Code,Social Progress Index,Basic Human Needs,Foundations of Wellbeing,Opportunity,Nutrition and Basic Medical Care,Water and Sanitation,Shelter,Personal Safety,Access to Basic Knowledge,Access to Information and communications,Health and Wellness,Environmental Quality,Personal Rights,Personal Freedom and Choice,Inclusiveness,Access to Advanced Education,Undernourishment (% of pop.),"Maternal mortality rate (deaths/100,000 live births)","Child mortality rate (deaths/1,000 live births)",Child stunting (% of children),"Deaths from infectious diseases (deaths/100,000)",Access to at least basic drinking water (% of pop.),Access to piped water (% of pop.),Access to at least basic sanitation facilities (% of pop.),Rural open defecation (% of pop.),Access to electricity (% of pop.),Quality of electricity supply (1=low; 7=high),"Household air pollution attributable deaths (deaths/100,000)","Homicide rate (deaths/100,000)",Political killings and torture (0=low freedom; 1=high freedom),Perceived criminality (1=low; 5=high),"Traffic deaths (deaths/100,000)",Adult literacy rate (% of pop. aged 15+),Primary school enrollment (% of children),Secondary school enrollment (% of children),Gender parity in secondary enrollment (girls/boys),Access to quality education (0=unequal; 4=equal),Mobile telephone subscriptions (subscriptions/100 people),Internet users (% of pop.),Participation in online governance (0=low; 1=high),Access to independent media (% of pop.),Life expectancy at 60 (years),"Premature deaths from non-communicable diseases (deaths/100,000)",Access to essential services  (0=none; 100=full coverage),Access to quality healthcare (0=unequal; 4=equal),"Outdoor air pollution attributable deaths (deaths/100,000)",Wastewater treatment (0=no treatment; 100=fully treated),Greenhouse gas emissions (CO2 equivalents per GDP),Biome protection (% of biomes),Political rights (0=no rights; 40=full rights),Freedom of expression (0=no freedom; 1=full freedom),Freedom of religion (0=no freedom; 4=full freedom),Access to justice (0=non-existent; 1=observed),Property rights for women (0=no right; 5=full rights),Vulnerable employment (% of employees),Early marriage (% of women),Satisfied demand for contraception (% of women),Corruption (0=high; 100=low),Acceptance of gays and lesbians (0=low; 100=high),Discrimination and violence against minorities (0=low; 10=high),Equality of political power by gender (0=unequal power; 4=equal power),Equality of political power by socioeconomic position (0=unequal power; 4=equal power),Equality of political power by social group (0=unequal power; 4=equal power),Years of tertiary schooling,Women's average years in school,Globally ranked universities (points),Percent of tertiary students enrolled in globally ranked universities
Sweden,SWE,88.63,95.98,88.66,81.24,98.98,99.84,97.21,87.88,91.25,84.99,85.77,92.65,96.95,89.92,79.23,58.88,2.5,3.835,2.9,1.253,17.8745,100,100,99.3053,0,100,6.49728,0.900051,0.9,0.973062,2,4.06585,NA,99.9934,140.437,1.14034,3.02298,127.073,92.52,0.60784,85,24.359,211.631,81.585,3.76282,8.19009,98.49,126.635,12.0257,40,0.965553,3.77548,0.980047,4.82455,6.7,1,79.8,89,78.38749694824219,1.7,3.46723,2.83538,2.72436,0.94,15.12,23,40
Swaziland,SWZ,48.55,56.74,50.51,38.42,59.71,63.64,58.11,45.48,70.57,34.18,33.29,63.99,32.03,71.67,34.62,15.36,21.5,128.902,74.1,33.205,946.085,66.5556,56.3027,57.4289,14.7499,65,3.9749,121.833,8.16,0.488907,3,43.5348,83.0983,76.2815,67.0429,0.99369,1.39365,70.7901,26.175,0.15686,21.8,15.2141,773.881,44.326,1.64736,85.4904,64.23,314.685,4.03811,1,0.413107,1.98889,0.396093,1.17306,19.1,7,79.5,43,17.979700088500977,3.4,1.50101,1.46067,0.339242,0.08,10,0,0
Chad,TCD,26.92,28.06,30.91,21.8,40.09,16.1,19.74,36.33,27.51,23.02,34.69,38.41,50.92,16.57,17.39,2.32,36.9,602.906,134.5,39.608,641.746,42.2653,18.7692,9.54398,82.5571,7.94391,1.72844,195.929,9.68,0.183189,5,20.7406,26.2192,78.9185,22.5222,0.45101,0.868197,38.7014,2.9,0.07843,38.5714,16.8532,464.621,32.992,0.613144,118.451,0,1140.29,11.5753,4,0.498265,2.60156,0.298163,4.31888,91,45,17.9,22,2.0181000232696533,8.5,1.20801,0.78316,0.44166,NA,1.63,0,0
Togo,TGO,46.49,45.24,50.61,43.62,62.69,27.98,34.91,55.38,74.42,33.91,42.44,51.65,72.06,42.32,52.34,7.77,15.7,377.198,80.4,28.058,543.125,61.6585,25.3511,13.7297,74.682,45.7,NA,185.645,9.77,0.557395,3,22.4378,62.9117,96.5707,55.071,NA,3.03303,62.4729,5.7,0.09803,51.8,16.4118,543.474,41.806,2.25234,101.73,0,754.064,16.7392,18,0.810247,3.8506,0.454495,4.23317,66.6,16,33.4,32,6.246600151062012,4.8,2.39112,2.20275,2.98329,0.13,4.19,0,0
Thailand,THA,66.72,79.62,74.33,46.21,90.56,90.04,87.61,50.27,87.33,61.05,68.23,80.7,46.87,63.93,39.15,34.87,8.5,34.918,13,15.226,87.9384,98.0257,64.6762,95.0107,0.5155,99.9817,5.22003,23.2342,4.29,0.222483,3,27.697,93.2852,94.6944,120.632,0.96055,1.85933,141.918,34.89,0.54901,51.4286,23.1674,303.765,65.348,2.11164,36.0871,77.05,363.413,13.1631,7,0.136486,3.27052,0.251764,4.1691,52.1,11,90.2,38,37.104400634765625,9,2.46719,1.73166,1.17155,0.54,10.09,11,10
Tajikistan,TJK,52.15,72.66,55.37,28.42,74.97,80.36,69.33,65.99,81.14,36.78,46.25,57.31,26.18,51.81,15.31,20.38,32,42.037,46,30.681,87.8198,74.1177,60.2904,95.494,0.09028,99.9784,3.1527,81.2312,1.44,0.36752,3,8.80827,NA,95.6602,87.4407,0.89897,1.00653,95.6516,17.49,0.11764,18.3333,19.2049,563.003,51.153,1.28481,124.556,58.85,505.097,10.8773,2,0.195184,1.06895,0.252608,2.36955,47,13,54.8,26,1.1198999881744385,7.6,0.990254,0.457673,0.368814,0.26,11.78,0,0
Timor-Leste,TLS,53.57,57.88,57.74,45.08,62.75,52.79,51.59,64.38,63.66,52.51,46.8,67.99,77.47,48.01,41.9,12.93,27.4,311.994,53.5,54.514,142.06,68.8,41.2416,43.1384,32.6261,57.7782,3.04513,117.119,3.69,0.884486,4,13.7686,58.309,85.7814,67.9509,1.07049,0.631876,113.434,17.5,0.29411,57.0833,20.0458,391.035,42.097,0.933819,49.2576,37.28,NA,12.6133,29,0.832665,3.72362,0.592654,3.87226,66.4,8,45,28,NA,6.7,1.82295,1.52802,2.61554,NA,6.92,0,0
Tunisia,TUN,71.74,84.29,74.62,56.3,93.75,92.17,88.29,62.97,85.61,73.19,64.75,74.95,85.73,70.77,48.56,20.16,4.5,35.25,14.6,10.114,34.3958,93.9113,86.3709,92.5038,2.69582,99.8,4.83527,1.07757,3.05,0.723831,3,25.2839,79.0364,99.6811,88.1956,1.04599,2.4649,128.174,46.16,0.64705,78.125,21.7458,330.45,63.292,2.20332,52.9275,88.17,313.309,5.44122,37,0.803521,2.96738,0.93081,4.47561,21.2,2,73.8,38,4.19350004196167,7.9,2.34336,2.62012,3.02453,0.52,9.1,0,0
Turkey,TUR,67.26,83.74,73.2,44.85,94.73,97.95,86.25,56.04,87.39,60.25,70.44,74.72,57.25,63.15,27.07,31.92,2.5,14.277,14.5,11.725,15.4825,98.7345,98.7345,95.9447,1.23744,100,4.48539,2.9398,4.3,0.452259,4,11.3582,95.4396,94.9729,103.05,0.97383,1.57216,93.3245,51.04,0.49019,46,23.2054,314.692,63.765,2.81795,41.6569,92.21,277.934,0.230238,24,0.38825,2.48177,0.506188,3.60986,28.5,10,60.7,42,19.676000595092773,9.5,0.481733,2.65434,1.03936,0.36,8.76,16,10
Tanzania,TZA,49.9,48.38,55.33,46,55.46,43.85,33.26,60.97,63.71,42.32,46.56,68.72,70.24,41.94,55.67,16.14,31.4,436.89,60.9,41.697,525.228,48.9048,34.9364,22.3044,15.3909,18.9102,2.60625,151.657,7.36,0.731459,3,20.9747,77.9584,79.0448,31.6738,0.91533,2.28136,60.9988,7,0.39215,57.6667,16.9697,472.738,45.162,2.29575,62.6743,54.03,705.361,16.9025,27,0.736091,3.44656,0.647223,2.99293,80.3,20,53.3,30,5.406899929046631,5.4,2.74226,2.47295,3.14786,0.03,7.06,1,10
Ukraine,UKR,67.57,81.03,65.98,55.72,93.3,90.74,86.16,53.91,91.78,63.64,53.36,55.12,72.08,65.35,35.76,49.67,2.5,27.873,9.8,17.416,31.0167,97.6164,66.8737,95.9277,0.00385,100,4.62285,9.55129,4.36,0.412244,4,14.1877,99.9743,92.7681,96.786,0.97825,2.9277,144.279,46.236,0.43137,61.4286,18.962,645.853,60.309,2.68472,83.9198,78.76,1005.51,4.38888,25,0.615747,2.83348,0.65937,4.70643,14.7,7,68.1,27,7.995200157165527,6.9,2.4036,0.356214,2.4047,1.5,14.69,6,0
Uruguay,URY,80.12,86.34,79.66,74.36,95.23,98.2,93.25,58.67,89.34,87.98,68.3,73.02,96.22,79.99,70.26,50.99,2.5,22.582,9.5,9.977,39.9866,99.0889,99.3549,95.5612,0.98169,99.6571,5.81323,2.65343,7.63,0.876137,4,18.492,98.4359,97.7591,111.648,1.13702,2.74448,160.755,61.46,0.98039,90.625,21.9048,388.614,61.99,3.41318,25.9655,58.85,552.684,8.31798,40,0.965372,3.81527,0.958488,4.71485,22.7,11,89.3,74,81.62830352783203,2.7,2.02003,2.46773,3.54732,0.28,12.08,2,90
United States,USA,86.4,92.72,85.05,81.43,97.73,99.4,97.02,76.73,93.61,89.4,73.31,83.9,95.45,86.17,67.35,76.73,2.5,26.547,6.8,1.986,24.7859,99.1952,98.6926,99.9694,0,100,6.44442,0.182074,4.52,0.920219,2,13.1992,NA,97.1951,97.1848,1.0104,2.80828,111.891,73,0.92156,91,23.3808,307.967,72.745,2.57226,18.6314,92.57,390.422,10.0717,36,0.972994,3.90581,0.956073,4.78682,6.3,3,82.5,76,73.53459930419922,5.1,2.95473,2.57808,2.71054,1.86,15.06,336,20
Uzbekistan,UZB,56.36,80.35,51.58,37.14,89.24,90.57,84.18,57.42,92.48,41.9,46.56,25.39,23.6,65.39,32.01,27.57,6.7,28.382,27.6,18.244,55.48,91.4586,72.1115,100,0,100,NA,35.3491,3.22,0.267677,3,16.5645,99.9806,99.2413,91.5789,0.98827,2.59577,70.9491,35.5,0.47058,14.8333,17.6881,703.555,56.074,2.3069,111.658,0,1646.34,3.36816,0,0.101343,1.42425,0.254297,1.99414,26.5,5,83.3,19,NA,7.3,1.88189,1.20949,0.989662,NA,12.97,0,0
Yemen,YEM,38.22,48.94,42.41,23.31,66.51,56.85,49.05,23.34,49.94,39.62,34.65,45.44,19.4,49.56,19.41,4.87,24.6,224.962,55.3,51.99,106.583,68.4086,41.6722,58.3608,30.6862,66.1,1.45023,89.6337,6.67,0.087317,5,49.6673,NA,83.99,50.213,0.68807,0.708602,65.152,22.55,0.2745,40.3333,17.8743,641.606,41.327,0.426276,117.467,0,303.75,0.775324,4,0.150211,0.474339,0.102051,2.2113,32.7,17,49.8,18,NA,9.5,0.248857,2.59079,0.486899,0.11,2.35,0,0
South Africa,ZAF,65.17,66.44,63.71,65.36,72.64,83.57,69.27,40.27,83.19,61.51,45.26,64.89,88.23,75.83,54.55,42.82,3.8,342.376,44.5,21.642,580.933,84.2436,89.7333,72.309,6.29191,86,2.87072,36.3474,31.66,0.817255,4,40.2649,94.1399,91.6151,102.754,0.98513,0.74993,145.364,49,0.33333,59.6667,18.4252,544.553,49.395,1.42244,69.3271,87.8,761.676,6.45861,33,0.853352,3.87228,0.855663,4.47259,9.2,3,78.8,44,56.416500091552734,6.3,2.15348,2.46152,2.29416,0.11,11.48,13,50
Zimbabwe,ZWE,42.59,39.46,54.36,33.94,49.93,46.74,33.38,27.81,78.19,45.43,29.99,63.85,50.27,45.99,24.54,14.95,37.3,528.839,64.3,33.882,742.516,66.8502,30.3009,38.8234,39.3228,32.3,1.92457,153.806,6.74,0.157133,5,42.7039,88.6934,89.625,47.1138,0.98049,2.90731,76.5566,16.3647,0.45098,40.8333,15.0457,690.139,39.159,0.940286,80.2917,75.44,1007.7,16.9558,12,0.370863,3.73813,0.471434,2.02172,74.3,26,85,21,6.269400119781494,7.5,1.58815,0.478591,1.27579,0.03,10.2,0,0
