Country,Code,Social Progress Index,Basic Human Needs,Foundations of Wellbeing,Opportunity,Nutrition and Basic Medical Care,Water and Sanitation,Shelter,Personal Safety,Access to Basic Knowledge,Access to Information and communications,Health and Wellness,Environmental Quality,Personal Rights,Personal Freedom and Choice,Inclusiveness,Access to Advanced Education,Undernourishment (% of pop.),"Maternal mortality rate (deaths/100,000 live births)","Child mortality rate (deaths/1,000 live births)",Child stunting (% of children),"Deaths from infectious diseases (deaths/100,000)",Access to at least basic drinking water (% of pop.),Access to piped water (% of pop.),Access to at least basic sanitation facilities (% of pop.),Rural open defecation (% of pop.),Access to electricity (% of pop.),Quality of electricity supply (1=low; 7=high),"Household air pollution attributable deaths (deaths/100,000)","Homicide rate (deaths/100,000)",Political killings and torture (0=low freedom; 1=high freedom),Perceived criminality (1=low; 5=high),"Traffic deaths (deaths/100,000)",Adult literacy rate (% of pop. aged 15+),Primary school enrollment (% of children),Secondary school enrollment (% of children),Gender parity in secondary enrollment (girls/boys),Access to quality education (0=unequal; 4=equal),Mobile telephone subscriptions (subscriptions/100 people),Internet users (% of pop.),Participation in online governance (0=low; 1=high),Access to independent media (% of pop.),Life expectancy at 60 (years),"Premature deaths from non-communicable diseases (deaths/100,000)",Access to essential services  (0=none; 100=full coverage),Access to quality healthcare (0=unequal; 4=equal),"Outdoor air pollution attributable deaths (deaths/100,000)",Wastewater treatment (0=no treatment; 100=fully treated),Greenhouse gas emissions (CO2 equivalents per GDP),Biome protection (% of biomes),Political rights (0=no rights; 40=full rights),Freedom of expression (0=no freedom; 1=full freedom),Freedom of religion (0=no freedom; 4=full freedom),Access to justice (0=non-existent; 1=observed),Property rights for women (0=no right; 5=full rights),Vulnerable employment (% of employees),Early marriage (% of women),Satisfied demand for contraception (% of women),Corruption (0=high; 100=low),Acceptance of gays and lesbians (0=low; 100=high),Discrimination and violence against minorities (0=low; 10=high),Equality of political power by gender (0=unequal power; 4=equal power),Equality of political power by socioeconomic position (0=unequal power; 4=equal power),Equality of political power by social group (0=unequal power; 4=equal power),Years of tertiary schooling,Women's average years in school,Globally ranked universities (points),Percent of tertiary students enrolled in globally ranked universities
Nepal,NPL,52.68,63.22,51.65,43.17,72.21,59.98,48.49,72.18,69.27,47.45,42.36,47.54,70.72,39.4,55.91,6.65,8.5,312.793,38,45.232,196.849,87.2398,47.5721,44.3869,37.6955,84.9,1.94211,159.929,2.29,0.737075,2,21.6247,59.6273,96.7734,67.1409,1.07267,0.954584,81.2807,15.44,0.29411,58.25,18.2352,534.88,46.726,1.00579,122.052,0,614.751,12.7808,25,0.799735,3.37512,0.764747,2.59628,76.1,29,59.7,27,76.02269744873047,9.5,2.46087,2.53246,2.64262,0.11,3.6,0,0
New Zealand,NZL,87.83,94.72,89.06,79.7,97.95,100,95.34,85.6,95.66,90.62,82.03,87.93,97.01,87.41,71.01,63.38,2.5,14.528,5.7,3.368,12.4818,100,100,100,0,100,6.13207,0.342031,1.03,0.974836,2,8.42329,NA,98.2294,114.746,1.05923,3.60268,111.678,85.5,0.78431,96.6,24.554,242.891,75.917,3.49355,8.23248,96.16,512.716,15.3118,40,0.960286,3.85185,0.961831,4.8514,11.2,8,84.7,91,75.18150329589844,3.8,2.80989,2.77973,2.88588,1.19,15.04,15,50
Oman,OMN,67.72,85.6,75.3,42.27,94.02,93.16,94.81,60.41,92.39,80.79,67.79,60.25,51.16,64.42,31.68,21.81,5.3,9.502,11,11.414,43.409,90.0142,86.9203,99.2752,0.05061,100,6.13514,4.72356,1.06,0.743777,2,54.1877,91.9812,99.6998,103.313,0.98074,2.57988,156.382,70.22,0.70588,NA,20.8108,396.709,71.472,2.9227,71.9933,68.37,661.254,2.5717,8,0.17858,2.3615,0.822881,3.44975,10,4,35.4,45,NA,3.1,0.774108,1.08352,1.06144,NA,8.19,1,10
Pakistan,PAK,46.61,57.02,46.03,36.8,61.44,64.58,55.27,46.78,50.41,46.14,34.66,52.89,56.14,49.64,24.73,16.69,20.8,360.663,83.3,48.111,172.188,88.5958,33.0407,56.5463,21.5228,96.0159,2.06567,137.727,7.81,0.453886,4,25.7644,56.9771,79.9663,44.3866,0.79276,0.403789,73.1688,12,0.33333,60.8333,17.6198,664.514,39.556,0.819026,127.522,26.03,408.155,10.6911,20,0.674615,1.85038,0.31261100000000003,4.01987,59.9,11,49.3,30,2.7256999015808105,9.7,2.2006,0.521172,1.40168,0.19,4.26,6,0
Panama,PAN,71.91,80.71,75.81,59.23,88.31,87.77,84.35,62.39,81.07,63.39,70.69,88.07,91.55,59.88,55.43,30.06,9.9,74.312,17.4,18.867,53.1024,94.5691,91.8209,76.0289,9.88827,91.6924,4.82659,12.7155,17.42,0.92027,3,16.3658,94.0941,89.7076,75.8021,1.05334,2.10848,158.946,44.92,0.49019,56.5,23.9661,248.236,60.024,2.53792,18.2409,78.12,247.584,15.9453,35,0.906524,3.81448,0.850126,4.86568,28.9,22,73.8,39,39.86690139770508,5.3,2.43764,2.01995,2.81347,0.89,12.46,0,0
Peru,PER,68.75,76.74,76.22,53.3,85.91,80.05,81.54,59.44,86.09,65.33,68.08,85.37,78.54,55.56,46.68,32.42,8.3,103.788,16.6,25.894,91.0821,89.3195,82.3354,75.9764,22.9304,92.92,4.73938,34.3677,6.59,0.834294,4,16.4875,93.7079,98.0664,95.7445,1.00057,0.95879,102.927,40.2,0.70588,49,24.1169,215.597,62.253,1.48325,38.6878,88.49,258.352,15.3138,30,0.898202,3.86853,0.588189,3.5915,47.6,16,64.9,36,34.537601470947266,7.6,2.13377,2.6466,1.68716,0.74,11.57,3,0
Philippines,PHL,62.68,67.67,66.16,54.22,77.89,75.29,63.66,53.86,81.94,72.15,40.48,70.08,82.72,59.92,41.09,33.13,14.4,93.935,28.8,37.081,223.412,90.1926,43.6543,74.4125,8.75169,88.6457,4.02861,136.438,9.38,0.568414,4,13.0344,96.398,97.8264,88.3348,1.08592,0.950838,111.212,49.6,0.56862,78.125,17.6462,576.596,46.657,1.04228,93.7603,60.34,278.594,15.1638,27,0.85607,3.61664,0.742551,4.57265,37.6,5,54,35,56.912601470947266,8.1,2.42577,1.41367,0.979343,0.7,11.82,4,0
Papua New Guinea,PNG,35.83,34.94,31.55,41,57.13,35.41,3.11,44.12,48.83,23.7,11.01,42.65,73.55,47.88,33.28,9.3,NA,473.565,57.9,51.033,280.5,36.5854,20.286,18.5957,14.2661,21.4462,NA,301.024,10.42,0.637717,4,36.7686,NA,85.4031,39.7799,0.75109,0.290869,43.3083,6.5,0,40.3333,13.7333,1266.1,34.635,0.641999,86.8529,0,865.994,2.41732,23,0.773897,3.71688,0.530197,4.08803,49.2,16,47.9,25,NA,6.5,0.78291,1.49778,2.52664,0.05,6.04,0,0
Poland,POL,81.69,92.69,81.43,70.95,96.95,97.96,91.06,84.79,96.01,78.78,68.96,81.99,95.47,76.77,60.86,50.71,2.5,5.688,5,7.915,20.6005,97.8896,97.1482,97.3777,0,100,5.49516,7.40593,0.77,0.960669,2,11.308,NA,95.1473,106.61,0.96806,3.7584,148.605,66.6,0.49019,94.75,21.7717,439.173,68.417,3.32292,52.1838,92.35,414.754,17,38,0.974212,3.8466,0.914687,4.84386,17.3,2,67.1,63,26.823200225830078,4.9,2.5887,3.07634,2.79176,0.77,14.78,12,30
Portugal,PRT,84.66,94.38,86.42,73.18,98.42,99.78,94.98,84.33,94.65,80.08,79.26,91.68,96.16,79.4,70.38,46.78,2.5,11.395,3.6,1.541,34.0353,99.9031,99.9031,99.3154,0,100,6.10248,1.96853,1.38,0.981396,2,9.54937,94.4771,98.2718,118.232,0.96948,3.31657,113.604,64.59,0.64705,87.6667,23.9272,259.981,74.296,3.3387,17.8729,93.82,233.564,17,39,0.962935,3.96316,0.901826,4.87411,13.6,5,78.8,64,51.574798583984375,2.7,2.41118,2.86039,3.60991,0.39,11.54,13,50
